name,new_name
sample,sample
date,date
key,key
trap_id,trap_id
site,site
habitat,habitat
phanaeus igneus floridanus,ph_ig_fl
boreocanthon depressipennis,bo_de
onthophagus tuberculifrons,on_tu
onthophagus pennsylvanicus,on_pe
histeridae,hi_sp
aphodius campestries,ap_ca
onthophagus hecate,on_he
melanocanthon bispinatus,me_bi
glaphyrocanthon viridis,gl_vi
morphosp_1,morphosp_1
blackburneus fordi,bl_fo
ateuchus lecontei,at_le
aphodius bicolor,ap_bi
aphodius crassulus,ap_cr
onthophagus striatulus floridanus,on_st_fl
notes,notes
aphodius stupidus,ap_st
melanocanthon punctaticollis,me_pu
peltotrupes profundues,pe_pr
onthophagus aciculatulus,on_ac
aphodius lividus,ap_li
onthophagus oklahomensis,on_ok
dichotomus carolinus,di_ca
onthophagus concinnus,on_co
ataenius cylindrus,at_cy
geotrupes blackburnii,ge_bl
aphodius rubeolus,ap_ru
copris minutus,co_mi
canthon vigilans,ca_vi
melanocanthon granifuler,me_gr
boreocanthon probus,bo_pr
deltochilum gibbosum gibbosum,de_gi_gi
pseudocanthon perplexus,ps_pe
unknown_spp,unknown_spp
